section,type,question_text,options,required,sort_order
前言,radio,生活中，我们会遇到一些人，在我们极度痛苦、崩溃或陷入绝境时，他们的出现或存在本身，让我们产生了“得救了”、“被从深渊拉出”、“感觉一切都会好起来”的感觉。请闭上眼睛仔细回忆，在你的生命中，是否有这样一个人？,"[""是"", ""否""]",1,1
TA是谁？,text,请写出这个人的名字、代号或昵称（实验中，我们将使用这个称呼来帮助您回忆）,,1,2
你们？,radio,{name}现在是你的,"[""母亲"", ""父亲"", ""伴侣（恋人/配偶）"", ""朋友"", ""导师/老师"", ""心理咨询师/治疗师"", ""兄弟姐妹"", ""宗教/精神领袖"", ""其他""]",1,3
你们？,text,如果愿意，请写下三个关于{name}的关键词（用逗号分隔）,,0,4
你们？,textarea,如果愿意，可以分享更多关于这段关系对你的意义,,0,5
你们？,textarea,如果愿意，请简述你与{name}之间最核心的一次“救赎事件”。发生了什么，你在什么状态下，{name}做了什么让你有这种感觉？（非必答，谢谢喵~）,,0,6
你们？,radio,这件事大约发生多久了？,"[""10年及以上"", ""5-10年"", ""1-5年"", ""1年以内"", ""最近""]",1,7
你们？,radio,这件事发生后，你与{name}的联系频率是,"[""几乎每天"", ""每周数次"", ""每月数次"", ""每年数次"", ""现在很少联系""]",1,8
事件回忆,slider_0_10,你对核心救赎事件的记忆清晰度（1=非常模糊，10=极度清晰）,,1,9
事件回忆,slider_0_10,这件事的视觉意象生动性（1=完全无法在脑中浮现画面，10=画面像电影一样清晰）,,1,10
事件回忆,radio,这件事发生时，你的情绪更偏向于哪一类？,"[""绝望"", ""恐惧"", ""麻木"", ""愤怒"", ""焦躁""，""悲痛""，""其他""]",1,11
事件回忆,slider_0_10,这件事伴随的情绪强度（1=情绪非常平静，10=情绪极其强烈）,,1,12
救赎感维度,slider_0_10,救赎/被拯救感（心里有了着落，得救了）,,1,13
救赎感维度,slider_0_10,宽慰/解脱感（终于可以松口气了，紧张感消失）,,1,14
救赎感维度,slider_0_10,深刻的安全感（觉得什么都不用怕了）,,1,15
救赎感维度,slider_0_10,归属感（感到被完全接纳，不再孤独）,,1,16
救赎感维度,slider_0_10,被理解感（{name}真的懂我当时的痛苦）,,1,17
救赎感维度,slider_0_10,感激/感恩,,1,18
救赎感维度,slider_0_10,爱,,1,19
救赎感维度,slider_0_10,亏欠感（觉得无以回报）,,1,20
救赎感维度,slider_0_10,依赖感,,1,21
救赎感维度,slider_0_10,自我力量恢复（想到{name}，我觉得自己更有力量面对困难）,,1,22
救赎感维度,slider_0_10,对未来的希望感（因为{name}，我开始相信明天会更好）,,1,23
救赎感维度,slider_0_10,敬畏感（对{name}的精神或行为感到崇敬）,,1,24
救赎感维度,slider_0_10,当我情绪崩溃时，想到或寻找{name}的频率,,1,25
救赎感维度,slider_0_10,当我面临巨大压力时，想到或寻找{name}的频率,,1,26
救赎感维度,slider_0_10,当我感到极度孤独时，想到或寻找{name}的频率,,1,27
救赎感维度,slider_0_10,当我需要做出重要决定时，想到或寻找{name}的频率,,1,28
救赎感维度,slider_0_10,在没有任何明确原因时，我也会突然想到{name}的频率,,1,29
对照者,text,现在，请你回想生命中另一个对你有积极影响的人。TA对你同样重要、熟悉，你们之间有深厚的情感，但TA的存在，并没有和上一部分提到的“绝境/崩溃/被拯救”的体验绑定在一起。请写出这个人的名字、代号或昵称,,1,30
TA是？,radio,{name_ctr}现在是你的,"[""朋友"", ""家庭成员（非父母/伴侣）"", ""导师/老师"", ""伴侣（无救赎经历）"", ""其他""]",1,31
请比较,slider_0_10,救赎者：你对{name}的熟悉程度（1=非常不熟，10=极其熟悉）,,1,32
请比较,slider_0_10,亲密对照者：你对{name_ctr}的熟悉程度,,1,33
请比较,slider_0_10,救赎者：你对{name}的总体积极情感（1=无，10=极度正面）,,1,34
请比较,slider_0_10,亲密对照者：你对{name_ctr}的总体积极情感,,1,35
请比较,slider_0_10,救赎者：你与{name}的相处时间长度（1=短，10=很长）,,1,36
请比较,slider_0_10,亲密对照者：你与{name_ctr}的相处时间长度,,1,37
